pantone,name,hex,rgb,skc,family,shade,needs_review
18-0328TPG,Cedar Green,#677249,"103,114,73",7580,7,580,False
15-0523TPG,Winter Pear,#AEB385,"174,179,133",1360,1,360,False
16-0526TPG,Cedar,#979569,"151,149,105",1450,1,450,False
17-0535TPG,Green Olive,#8E8B5B,"142,139,91",1490,1,490,False
18-0430TPG,Avocado,#6B6947,"107,105,71",1600,1,600,False
18-0426TPG,Capulet Olive,#6D7057,"109,112,87",1580,1,580,False
18-0220TPG,Mayfly,#6B6D50,"107,109,80",1590,1,590,False
18-0527TPG,Olive Branch,#74714E,"116,113,78",1580,1,580,False
17-0115TPG,Oil Green,#808A73,"128,138,115",7500,7,500,False
18-0316TPG,Olivine,#69725F,"105,114,95",7580,7,580,False
18-0317TPG,Bronze Green,#58624E,"88,98,78",7640,7,640,False
19-0323TPG,Chive,#565D47,"86,93,71",7660,7,660,False
18-0322TPG,Cypress,#5B624C,"91,98,76",7640,7,640,False
18-0523TPG,Winter Moss,#60614C,"96,97,76",1640,1,640,False
19-0419TPG,Rifle Green,#515848,"81,88,72",7670,7,670,False
18-0422TPG,Loden Green,#70775D,"112,119,93",7560,7,560,False
18-0420TPG,Four Leaf Clover,#626959,"98,105,89",7610,7,610,False
18-0521TPG,Burnt Olive,#706E5C,"112,110,92",1580,1,580,False
19-0512TPG,Ivy Green,#605E51,"96,94,81",1640,1,640,False
19-0510TPG,Kalamata,#67645A,"103,100,90",9620,9,620,False
19-0515TPG,Olive Night,#5F5C50,"95,92,80",8650,8,650,False
19-0413TPG,Deep Depths,#53554C,"83,85,76",9680,9,680,False
18-0617TPG,Covert Green,#7F7865,"127,120,101",8540,8,540,True
17-0517TPG,Dusky Green,#7D7465,"125,116,101",8560,8,560,False
19-0622TPG,Military Olive,#69614C,"105,97,76",8630,8,630,True
19-0516TPG,Dark Olive,#605A49,"96,90,73",8650,8,650,True
19-0403TPG,Sea Turtle,#655F55,"101,95,85",8630,8,630,False
19-0511TPG,Grape Leaf,#5A5B4F,"90,91,79",9660,9,660,False
19-0414TPG,Forest Night,#4C4F47,"76,79,71",9700,9,700,False
16-0518TPG,Gray Green,#A29D7D,"162,157,125",1420,1,420,False
17-0625TPG,Boa,#948B6A,"148,139,106",8480,8,480,False
17-0627TPG,Dried Herb,#8A8061,"138,128,97",8520,8,520,True
18-0622TPG,Olive Drab,#777352,"119,115,82",1570,1,570,False
18-0825TPG,Nutria,#75694C,"117,105,76",8600,8,600,True
18-0629TPG,Lizard,#7B7354,"123,115,84",8560,8,560,False
18-0625TPG,Martini Olive,#766F57,"118,111,87",8580,8,580,False
14-0418TPG,Bog,#B7B996,"183,185,150",0330,0,330,False
15-0318TPG,Sage Green,#AFAC87,"175,172,135",1370,1,370,False
16-0713TPG,Slate Green,#A1977D,"161,151,125",8440,8,440,True
17-0619TPG,Overland Trek,#8C8575,"140,133,117",8500,8,500,True
16-0613TPG,Elm,#A5A088,"165,160,136",8410,8,410,False
17-0620TPG,Aloe,#857D65,"133,125,101",8530,8,530,True
17-0618TPG,Mermaid,#817E6A,"129,126,106",1530,1,530,False
15-0522TPG,Pale Olive Green,#B7AC8A,"183,172,138",1370,1,370,True
16-1110TPG,Olive Gray,#A49A7A,"164,154,122",8430,8,430,True
16-1108TPG,Twill,#A89F84,"168,159,132",8410,8,410,True
16-1118TPG,Sponge,#A79C7D,"167,156,125",8420,8,420,True
17-0630TPG,Tree House,#9B8F77,"155,143,119",8460,8,460,True
17-1019TPG,Elmwood,#928167,"146,129,103",8510,8,510,False
18-0724TPG,Gothic Olive,#81755B,"129,117,91",8550,8,550,True
13-0715TPG,Sea Mist,#DACCA7,"218,204,167",1260,1,260,True
13-0613TPG,Chino Green,#DCD0AC,"220,208,172",1250,1,250,True
13-0919TPG,Soybean,#D7C49E,"215,196,158",1280,1,280,True
13-0915TPG,Reed Yellow,#DCCDA3,"220,205,163",1260,1,260,True
14-1113TPG,Marzipan,#DAC29B,"218,194,155",2280,2,280,False
14-0925TPG,Parsnip,#D6C694,"214,198,148",1280,1,280,True
14-1026TPG,Moonstone,#CFB686,"207,182,134",2320,2,320,False
14-0626TPG,Dried Moss,#CABB80,"202,187,128",1320,1,320,False
14-1025TPG,Cocoon,#CDB97F,"205,185,127",1320,1,320,True
14-0721TPG,Hemp,#C5B482,"197,180,130",1340,1,340,True
15-0719TPG,Silver Fern,#BBAC81,"187,172,129",1360,1,360,True
16-0726TPG,Khaki,#A09165,"160,145,101",8460,8,460,True
17-0929TPG,Fennel Seed,#9B855B,"155,133,91",8490,8,490,False
18-0820TPG,Capers,#6B644F,"107,100,79",8620,8,620,True
16-1326TPG,Prairie Sand,#B49A68,"180,154,104",8420,8,420,False
16-1126TPG,Antelope,#A99260,"169,146,96",8450,8,450,True
16-1133TPG,Mustard Gold,#B19358,"177,147,88",8440,8,440,False
17-1028TPG,Antique Bronze,#948260,"148,130,96",8500,8,500,False
17-0935TPG,Dull Gold,#86724A,"134,114,74",8560,8,560,True
18-0830TPG,Butternut,#7D6C4E,"125,108,78",8580,8,580,False
19-0617TPG,Teak,#64594A,"100,89,74",8650,8,650,False
16-0730TPG,Antique Gold,#B6A166,"182,161,102",8400,8,400,True
17-0836TPG,Ecru Olive,#98814C,"152,129,76",8500,8,500,True
17-0840TPG,Amber Green,#9D884A,"157,136,74",8480,8,480,True
17-0843TPG,Bronze Mist,#A0824D,"160,130,77",8500,8,500,False
19-1034TPG,Breen,#776144,"119,97,68",8620,8,620,False
18-0920TPG,Kangaroo,#74654F,"116,101,79",8610,8,610,False
19-0618TPG,Beech,#5C5440,"92,84,64",8680,8,680,True
15-0730TPG,Southern Moss,#BEAB6E,"190,171,110",8370,8,370,True
15-0732TPG,Olivenite,#C2AD68,"194,173,104",8360,8,360,True
16-0742TPG,Green Sulphur,#B0913F,"176,145,63",1450,1,450,True
17-0839TPG,Golden Palm,#AF9130,"175,145,48",1450,1,450,True
16-0847TPG,Olive Oil,#AC9041,"172,144,65",1450,1,450,True
18-0835TPG,Dried Tobacco,#987E43,"152,126,67",8510,8,510,True
18-0832TPG,Plantation,#7D6A45,"125,106,69",8590,8,590,False
13-0725TPG,Raffia,#DBC986,"219,201,134",1270,1,270,False
15-0743TPG,Oil Yellow,#C4A850,"196,168,80",1370,1,370,True
14-0740TPG,Bamboo,#D3B457,"211,180,87",1330,1,330,True
15-0850TPG,Ceylon Yellow,#D5AE41,"213,174,65",1340,1,340,True
15-0751TPG,Lemon Curry,#CEA432,"206,164,50",1380,1,380,True
16-0946TPG,Honey,#BB9645,"187,150,69",1420,1,420,True
18-0840TPG,Tapenade,#83683E,"131,104,62",8590,8,590,False
14-0837TPG,Misted Yellow,#D9B965,"217,185,101",1310,1,310,True
14-0952TPG,Spicy Mustard,#DBAF49,"219,175,73",1340,1,340,True
16-0954TPG,Arrowwood,#BD8F32,"189,143,50",1440,1,440,True
16-0952TPG,Nugget Gold,#CB9C31,"203,156,49",1400,1,400,True
15-0948TPG,Golden Spice,#C59941,"197,153,65",1410,1,410,True
16-0953TPG,Tawny Olive,#C59632,"197,150,50",1420,1,420,True
17-0949TPG,Chai Tea,#B9893D,"185,137,61",2460,2,460,False
14-1031TPG,Rattan,#D4B373,"212,179,115",2330,2,330,False
14-1036TPG,Ochre,#D9AE5F,"217,174,95",2340,2,340,False
15-1132TPG,Fall Leaf,#C8AA6E,"200,170,110",1360,1,360,True
15-0942TPG,Sauterne,#C2A156,"194,161,86",1390,1,390,True
16-0945TPG,Tinsel,#C39C52,"195,156,82",2400,2,400,False
16-0948TPG,Harvest Gold,#B38B41,"179,139,65",2460,2,460,False
18-0939TPG,Cumin,#917345,"145,115,69",8550,8,550,False
15-1142TPG,Honey Gold,#D5A351,"213,163,81",2370,2,370,False
16-0947TPG,Bright Gold,#D1A451,"209,164,81",2370,2,370,False
16-0950TPG,Narcissus,#C6954A,"198,149,74",2420,2,420,False
16-1139TPG,Amber Gold,#BC9151,"188,145,81",8430,8,430,False
15-1046TPG,Mineral Yellow,#D7A246,"215,162,70",2370,2,370,False
15-0960TPG,Mango Mojito,#DAA03D,"218,160,61",2370,2,370,False
15-0953TPG,Golden Yellow,#CE942D,"206,148,45",2410,2,410,False
16-0940TPG,Taffy,#C49D69,"196,157,105",8400,8,400,False
17-1047TPG,Honey Mustard,#B79154,"183,145,84",8440,8,440,False
17-1129TPG,Wood Thrush,#A68146,"166,129,70",8490,8,490,False
18-0940TPG,Golden Brown,#916C3A,"145,108,58",8560,8,560,False
18-0937TPG,Bronze Brown,#82643E,"130,100,62",8600,8,600,False
18-0933TPG,Rubber,#85674C,"133,103,76",8590,8,590,False
18-1048TPG,Monk's Robe,#77553D,"119,85,61",8650,8,650,False
17-1036TPG,Bistre,#927448,"146,116,72",8540,8,540,False
18-1022TPG,Ermine,#826C51,"130,108,81",8580,8,580,False
18-1018TPG,Otter,#7F6A55,"127,106,85",8580,8,580,False
18-0930TPG,Coffee Liqueúr,#6E5B4A,"110,91,74",8640,8,640,False
18-0928TPG,Sepia,#705E4A,"112,94,74",8630,8,630,False
19-0815TPG,Desert Palm,#5E4E3E,"94,78,62",8690,8,690,True
